SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
80.38,1047.92,77.15,1046.1,,157.53,2094.02,53024.0,2251.55,7.65,5.61,8.5,6.51,16.15,12.11,14733.0,28.27,173.68,2106.13,2279.81
75.78,1043.65,72.83,1041.22,,148.61,2084.87,52648.0,2233.48,4.83,2.75,5.19,3.21,10.02,5.96,7075.0,15.98,158.63,2090.83,2249.46
77.58,1048.48,73.21,1044.86,,150.79,2093.34,52633.0,2244.13,2.41,1.1,2.65,1.4,5.07,2.5,5112.0,7.57,155.86,2095.85,2251.7
76.45,1048.24,72.36,1043.96,,148.81,2092.21,52623.0,2241.01,2.85,1.13,2.99,1.35,5.84,2.48,3375.0,8.32,154.65,2094.68,2249.34
73.91,1043.72,70.53,1039.73,,144.44,2083.45,52620.0,2227.89,2.8,1.35,2.9,1.52,5.7,2.87,3269.0,8.56,150.14,2086.32,2236.46
75.06,1045.19,73.81,1041.11,,148.87,2086.3,52620.0,2235.17,3.3,1.4,4.25,2.41,7.55,3.81,16006.0,11.36,156.42,2090.11,2246.53
81.98,1174.68,78.61,1170.44,,160.6,2345.12,52635.0,2505.72,2.83,0.88,2.98,1.11,5.81,1.99,3623.0,7.8,166.4,2347.11,2513.52
121.27,1741.51,115.47,1739.37,,236.75,3480.88,52716.0,3717.63,1.66,0.51,1.78,0.66,3.44,1.17,2742.0,4.61,240.19,3482.05,3722.23
118.81,1737.58,115.45,1732.11,,234.27,3469.69,52739.0,3703.95,1.44,0.35,1.58,0.52,3.03,0.88,2874.0,3.9,237.29,3470.56,3707.85
126.46,1737.65,122.19,1736.22,,248.65,3473.87,52760.0,3722.52,8.84,3.34,9.17,3.83,18.02,7.17,8156.0,25.19,266.66,3481.04,3747.7
119.26,1737.07,116.94,1734.35,,236.2,3471.42,52711.0,3707.62,2.37,0.61,2.44,0.78,4.81,1.39,3097.0,6.21,241.01,3472.81,3713.82
119.69,1729.79,116.79,1730.18,,236.48,3459.97,52767.0,3696.45,3.69,1.29,3.86,1.54,7.56,2.84,4172.0,10.4,244.04,3462.81,3706.84
