SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Ch2Read,SKT1-Ch2Write,SKT1-Ch3Read,SKT1-Ch3Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  137.51,  190.05,  487.56,  362.96,,,,,  625.07,  553.01,1799987569, 1178.08,  194.18,    9.37,  191.99,    6.57,,,,,  386.18,   15.94,1799851761,  402.12,   1011.25,    568.95,   1580.20
  160.45,  219.35,  570.59,  422.55,,,,,  731.04,  641.90,2133511013, 1372.94,  219.33,    8.81,  218.80,    5.32,,,,,  438.13,   14.13,2133647559,  452.26,   1169.17,    656.03,   1825.20
  159.54,  217.91,  568.26,  420.71,,,,,  727.80,  638.62,2133003805, 1366.42,  215.41,    7.57,  212.79,    4.16,,,,,  428.20,   11.72,2132863129,  439.92,   1156.00,    650.34,   1806.34
  157.54,  214.96,  562.04,  415.73,,,,,  719.58,  630.69,2132851732, 1350.27,  210.83,    6.30,  208.66,    2.90,,,,,  419.50,    9.20,2132843545,  428.70,   1139.08,    639.90,   1778.98
  157.52,  215.23,  560.21,  415.22,,,,,  717.73,  630.45,2132838837, 1348.18,  215.07,    7.87,  212.65,    4.46,,,,,  427.73,   12.33,2132883278,  440.06,   1145.45,    642.78,   1788.24
  156.54,  214.61,  558.72,  414.58,,,,,  715.26,  629.19,2135086193, 1344.45,  224.97,    9.71,  222.65,    6.28,,,,,  447.62,   15.99,2135054135,  463.62,   1162.88,    645.18,   1808.06
  164.42,  234.21,  581.72,  440.11,,,,,  746.14,  674.32,2133278090, 1420.46,  247.41,   16.11,  244.01,   12.67,,,,,  491.42,   28.78,2133210725,  520.20,   1237.56,    703.10,   1940.66
  131.24,  209.02,  470.01,  382.17,,,,,  601.25,  591.20,2132952038, 1192.45,  241.56,   10.98,  238.13,    7.49,,,,,  479.69,   18.47,2132909672,  498.16,   1080.95,    609.67,   1690.61
  126.23,  197.63,  454.93,  366.51,,,,,  581.16,  564.14,2132634600, 1145.30,  229.88,    8.74,  226.86,    5.29,,,,,  456.75,   14.03,2132550195,  470.78,   1037.91,    578.17,   1616.08
  125.44,  195.55,  451.91,  363.15,,,,,  577.35,  558.70,2134517551, 1136.04,  222.93,    7.43,  220.47,    3.97,,,,,  443.40,   11.40,2134618183,  454.80,   1020.75,    570.10,   1590.84
  125.24,  195.20,  451.29,  362.36,,,,,  576.53,  557.57,2132628377, 1134.10,  225.71,    8.29,  222.45,    4.84,,,,,  448.16,   13.13,2132694891,  461.29,   1024.69,    570.69,   1595.39
  124.97,  205.83,  449.16,  372.59,,,,,  574.13,  578.42,2132679380, 1152.55,  238.96,    7.47,  234.51,    4.05,,,,,  473.47,   11.52,2132599372,  484.99,   1047.60,    589.94,   1637.54
