skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-0_Date-miss,skt-0_Time-miss,skt-0_PCIRdCur-miss,skt-0_RFO-miss,skt-0_CRd-miss,skt-0_DRd-miss,skt-0_ItoM-miss,skt-0_PRd-miss,skt-0_WiL-miss,skt-0_Date-hit,skt-0_Time-hit,skt-0_PCIRdCur-hit,skt-0_RFO-hit,skt-0_CRd-hit,skt-0_DRd-hit,skt-0_ItoM-hit,skt-0_PRd-hit,skt-0_WiL-hit,skt-1_Date-total,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total,skt-1_Date-miss,skt-1_Time-miss,skt-1_PCIRdCur-miss,skt-1_RFO-miss,skt-1_CRd-miss,skt-1_DRd-miss,skt-1_ItoM-miss,skt-1_PRd-miss,skt-1_WiL-miss,skt-1_Date-hit,skt-1_Time-hit,skt-1_PCIRdCur-hit,skt-1_RFO-hit,skt-1_CRd-hit,skt-1_DRd-hit,skt-1_ItoM-hit,skt-1_PRd-hit,skt-1_WiL-hit
84,0,115682,219632,0,1904,0,20250913,135354964,10201394,0,378,4732,0,0,70,20250913,135354964,0,0,115304,214900,0,1904,0,20250913,0,0,314006,231028,0,0,0,20250913,135354964,7981358,0,1946,4494,0,0,0,20250913,135354964,0,0,312060,226534,0,0,0
2071230,120064,204848,834484,1908830,0,4018,20250913,135355978,6622,118902,28294,15288,1793540,1988,4018,20250913,135355978,2064608,1162,176554,819196,115290,0,0,20250913,0,0,100912,218274,0,0,0,20250913,135355978,0,0,1862,2884,0,0,0,20250913,135355978,0,0,99050,215390,0,0,0
2071104,120064,176176,838838,1908984,0,3948,20250913,135356992,546,118832,84,7574,1790586,1960,4074,20250913,135356992,2070558,1232,176092,831264,118398,0,0,20250913,0,0,110362,213962,0,0,0,20250913,135356992,0,0,206304,2338,0,0,0,20250913,135356992,0,0,0,211624,0,0,0
2055690,119630,181258,752374,1923222,0,3920,20250913,135358005,406,118776,14,40740,1775340,1988,4032,20250913,135358005,2055284,854,181244,711634,147882,0,0,20250913,0,0,136808,205212,0,0,0,20250913,135358005,0,0,0,2814,0,0,0,20250913,135358005,0,0,136808,202398,0,0,0
2055676,119210,149534,558166,1908928,0,6986,20250913,135359019,686,118776,14,7518,1787870,2072,4018,20250913,135359019,2054990,434,149520,550648,121058,0,2968,20250913,0,0,181860,33586,0,0,3080,20250913,135359019,0,0,2646,13552,0,0,0,20250913,135359019,0,0,179214,20034,0,0,3080
2071230,119168,166740,572306,1923306,2100,3990,20250913,135400032,1078,118818,0,80052,1774262,1456,3976,20250913,135400032,2070152,350,166740,492254,149044,644,14,20250913,0,0,162680,36078,0,0,0,20250913,135400032,0,0,0,88116,0,0,0,20250913,135400032,0,0,162680,0,0,0,0
2055788,119224,106232,566090,1908998,1876,4046,20250913,135401045,630,118706,42,8442,1787380,2184,4032,20250913,135401045,2055158,518,106190,557648,121618,0,14,20250913,0,0,120848,33950,0,0,0,20250913,135401045,0,0,1932,13734,0,0,0,20250913,135401045,0,0,118916,20216,0,0,0
2071230,119210,149856,616784,1921878,2156,4046,20250913,135402059,812,118678,112,16226,1773492,0,3906,20250913,135402059,2070418,532,149744,600558,148386,2156,140,20250913,0,0,148400,21952,0,0,0,20250913,135402059,0,0,1960,14616,0,0,0,20250913,135402059,0,0,146440,7336,0,0,0
2055704,119182,124250,979566,1923404,2044,3948,20250913,135403073,826,119518,70,7448,1773352,0,4004,20250913,135403073,2054878,0,124180,972118,150052,2044,0,20250913,0,0,186158,250768,0,0,0,20250913,135403073,0,0,1932,13412,0,0,0,20250913,135403073,0,0,184226,237356,0,0,0
2071230,119210,151018,769874,1909012,1988,3976,20250913,135404086,616,118636,56,7014,1773996,0,3990,20250913,135404086,2070614,574,150962,762860,135016,1988,0,20250913,0,0,86464,192808,0,0,0,20250913,135404086,0,0,1876,14126,0,0,42,20250913,135404086,0,0,84588,178682,0,0,0
2055676,119168,216874,1053878,1908900,2128,4074,20250913,135405099,504,119546,56,4592,1773016,0,4032,20250913,135405099,2055172,0,216818,1049286,135884,2128,42,20250913,0,0,174314,221928,0,0,0,20250913,135405099,0,0,1918,2422,0,0,0,20250913,135405100,0,0,172396,219506,0,0,0
2066372,119168,204358,920430,1923278,0,3920,20250913,135406113,462,118622,0,2814,1772428,2184,4074,20250913,135406113,2065910,546,204358,917616,150850,0,0,20250913,0,0,147966,383390,0,0,0,20250913,135406113,0,0,0,2198,0,0,0,20250913,135406113,0,0,147966,381192,0,0,0
