Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1659883765,Device: id=0,TX,0.14595906599923,413.02374553536,436.37719609524,148050,52369788
1659883766,Device: id=0,TX,0.63901133937629,1804.957021474,1907.1988357742,787076,277994592
1659883767,Device: id=0,TX,0.70678704626996,1999.9460562167,2113.0319836199,1493926,528010116
1659883768,Device: id=0,TX,0.70712016172566,1999.9364832171,2113.0757090932,2201096,778019796
1659883769,Device: id=0,TX,0.70882141073953,1999.9408157764,2113.3522414948,2909991,1028038352
1659883770,Device: id=0,TX,0.7061695798177,1999.9444540131,2112.931586784,3616200,1278045364
1659883771,Device: id=0,TX,0.70746427775369,1999.9385015007,2113.1327859413,4323690,1528046766
1659883772,Device: id=0,TX,0.7063353675193,1999.9478143613,2112.9614731643,5030064,1778053916
1659883773,Device: id=0,TX,0.70678877344734,1999.9375478733,2113.0237516249,5736912,2028067058
1659883774,Device: id=0,TX,0.70585954870662,1999.9483213271,2112.8858491202,6442772,2278060758
1659883775,Device: id=0,TX,0.70776850054446,1999.9661471311,2113.2091072183,7150588,2528073304
1659883776,Device: id=0,TX,0.70799085023804,1999.90978228,2113.1883183181,7858645,2778085384
